id,topic,subtopic,audience,setting,source_organization,source_url,source_information,health_message,story_title,story_summary,scenes
UGPH_0021,Malaria,Prevention,Families,Ugandan household,Uganda Ministry of Health / WHO Uganda,https://health.go.ug/now-we-can-now-we-must-uganda-pushes-for-a-malaria-free-future/,This example focuses on prevention within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about prevention and encourage appropriate use of trusted health services and guidance.",Prevention: A Community Story 0021,A short Ugandan public-health story about prevention for families.,"[{""scene_number"": 1, ""description"": ""A community health worker shares practical health information. The setting is a ugandan household."", ""caption"": ""Learning about prevention can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show a community health worker shares practical health information. the setting is a ugandan household. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about prevention to the families."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show a trained health worker or trusted community member explains information about prevention to the families. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The community shares the message with other households."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show the community shares the message with other households. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0022,Malaria,Mosquito-net use,Parents and caregivers,Ugandan household,Uganda Ministry of Health / WHO Uganda,https://health.go.ug/now-we-can-now-we-must-uganda-pushes-for-a-malaria-free-future/,This example focuses on mosquito-net use within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about mosquito-net use and encourage appropriate use of trusted health services and guidance.",Mosquito-net use: A Community Story 0022,A short Ugandan public-health story about mosquito-net use for parents and caregivers.,"[{""scene_number"": 1, ""description"": ""A caregiver notices an issue and seeks appropriate guidance. The setting is a ugandan household."", ""caption"": ""Learning about mosquito-net use can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show a caregiver notices an issue and seeks appropriate guidance. the setting is a ugandan household. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about mosquito-net use to the parents and caregivers."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show a trained health worker or trusted community member explains information about mosquito-net use to the parents and caregivers. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The caregiver follows the guidance and knows when to seek professional help."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show the caregiver follows the guidance and knows when to seek professional help. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0023,Malaria,Care seeking,Families,Ugandan community,Uganda Ministry of Health / WHO Uganda,https://health.go.ug/now-we-can-now-we-must-uganda-pushes-for-a-malaria-free-future/,This example focuses on care seeking within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about care seeking and encourage appropriate use of trusted health services and guidance.",Care seeking: A Community Story 0023,A short Ugandan public-health story about care seeking for families.,"[{""scene_number"": 1, ""description"": ""Residents attend a local health-education activity. The setting is a ugandan community."", ""caption"": ""Learning about care seeking can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show residents attend a local health-education activity. the setting is a ugandan community. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about care seeking to the families."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show a trained health worker or trusted community member explains information about care seeking to the families. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The health worker reinforces the importance of using trusted health services."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show the health worker reinforces the importance of using trusted health services. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0024,Malaria,Community awareness,Community members,Ugandan village,Uganda Ministry of Health / WHO Uganda,https://health.go.ug/now-we-can-now-we-must-uganda-pushes-for-a-malaria-free-future/,This example focuses on community awareness within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about community awareness and encourage appropriate use of trusted health services and guidance.",Community awareness: A Community Story 0024,A short Ugandan public-health story about community awareness for community members.,"[{""scene_number"": 1, ""description"": ""A family puts a recommended health practice into their daily routine. The setting is a ugandan village."", ""caption"": ""Learning about community awareness can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan village setting, realistic homes and community surroundings; show a family puts a recommended health practice into their daily routine. the setting is a ugandan village. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about community awareness to the community members."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan village setting, realistic homes and community surroundings; show a trained health worker or trusted community member explains information about community awareness to the community members. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan village setting, realistic homes and community surroundings; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The story ends with the community putting the health message into practice."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan village setting, realistic homes and community surroundings; show the story ends with the community putting the health message into practice. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0025,Malaria,Mosquito breeding-site awareness,Community members,Ugandan neighbourhood,Uganda Ministry of Health / WHO Uganda,https://health.go.ug/now-we-can-now-we-must-uganda-pushes-for-a-malaria-free-future/,This example focuses on mosquito breeding-site awareness within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about mosquito breeding-site awareness and encourage appropriate use of trusted health services and guidance.",Mosquito breeding-site awareness: A Community Story 0025,A short Ugandan public-health story about mosquito breeding-site awareness for community members.,"[{""scene_number"": 1, ""description"": ""A family learns about an important health practice. The setting is a ugandan neighbourhood."", ""caption"": ""Learning about mosquito breeding-site awareness can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan neighbourhood, realistic streets and homes; show a family learns about an important health practice. the setting is a ugandan neighbourhood. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about mosquito breeding-site awareness to the community members."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan neighbourhood, realistic streets and homes; show a trained health worker or trusted community member explains information about mosquito breeding-site awareness to the community members. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan neighbourhood, realistic streets and homes; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The family leaves with clear guidance on the next appropriate step."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan neighbourhood, realistic streets and homes; show the family leaves with clear guidance on the next appropriate step. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0026,Maternal health,Antenatal care,Pregnant women,Ugandan health centre,UNICEF Uganda,https://www.unicef.org/uganda/key-practice-antenatal-care,This example focuses on antenatal care within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about antenatal care and encourage appropriate use of trusted health services and guidance.",Antenatal care: A Community Story 0026,A short Ugandan public-health story about antenatal care for pregnant women.,"[{""scene_number"": 1, ""description"": ""A community health worker shares practical health information. The setting is a ugandan health centre."", ""caption"": ""Learning about antenatal care can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show a community health worker shares practical health information. the setting is a ugandan health centre. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about antenatal care to the pregnant women."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show a trained health worker or trusted community member explains information about antenatal care to the pregnant women. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The community shares the message with other households."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show the community shares the message with other households. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0027,Maternal health,Birth preparedness,Pregnant women and families,Ugandan community,UNICEF Uganda,https://www.unicef.org/uganda/key-practice-antenatal-care,This example focuses on birth preparedness within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about birth preparedness and encourage appropriate use of trusted health services and guidance.",Birth preparedness: A Community Story 0027,A short Ugandan public-health story about birth preparedness for pregnant women and families.,"[{""scene_number"": 1, ""description"": ""A caregiver notices an issue and seeks appropriate guidance. The setting is a ugandan community."", ""caption"": ""Learning about birth preparedness can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show a caregiver notices an issue and seeks appropriate guidance. the setting is a ugandan community. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about birth preparedness to the pregnant women and families."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show a trained health worker or trusted community member explains information about birth preparedness to the pregnant women and families. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The caregiver follows the guidance and knows when to seek professional help."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show the caregiver follows the guidance and knows when to seek professional help. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0028,Maternal health,Pregnancy danger signs,Pregnant women and families,Ugandan household,UNICEF Uganda,https://www.unicef.org/uganda/key-practice-antenatal-care,This example focuses on pregnancy danger signs within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about pregnancy danger signs and encourage appropriate use of trusted health services and guidance.",Pregnancy danger signs: A Community Story 0028,A short Ugandan public-health story about pregnancy danger signs for pregnant women and families.,"[{""scene_number"": 1, ""description"": ""Residents attend a local health-education activity. The setting is a ugandan household."", ""caption"": ""Learning about pregnancy danger signs can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show residents attend a local health-education activity. the setting is a ugandan household. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about pregnancy danger signs to the pregnant women and families."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show a trained health worker or trusted community member explains information about pregnancy danger signs to the pregnant women and families. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The health worker reinforces the importance of using trusted health services."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in realistic Ugandan household, culturally appropriate environment; show the health worker reinforces the importance of using trusted health services. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0029,Maternal health,Postnatal care,Mothers and families,Ugandan health centre,UNICEF Uganda,https://www.unicef.org/uganda/key-practice-antenatal-care,This example focuses on postnatal care within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about postnatal care and encourage appropriate use of trusted health services and guidance.",Postnatal care: A Community Story 0029,A short Ugandan public-health story about postnatal care for mothers and families.,"[{""scene_number"": 1, ""description"": ""A family puts a recommended health practice into their daily routine. The setting is a ugandan health centre."", ""caption"": ""Learning about postnatal care can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show a family puts a recommended health practice into their daily routine. the setting is a ugandan health centre. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about postnatal care to the mothers and families."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show a trained health worker or trusted community member explains information about postnatal care to the mothers and families. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The story ends with the community putting the health message into practice."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in Ugandan health centre with trained health workers; show the story ends with the community putting the health message into practice. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
UGPH_0030,Maternal health,Skilled care seeking,Pregnant women and families,Ugandan community,UNICEF Uganda,https://www.unicef.org/uganda/key-practice-antenatal-care,This example focuses on skilled care seeking within the Ugandan public-health context. The health information should be interpreted and verified against the cited authoritative source.,"Communicate accurate, practical information about skilled care seeking and encourage appropriate use of trusted health services and guidance.",Skilled care seeking: A Community Story 0030,A short Ugandan public-health story about skilled care seeking for pregnant women and families.,"[{""scene_number"": 1, ""description"": ""A family learns about an important health practice. The setting is a ugandan community."", ""caption"": ""Learning about skilled care seeking can help families make informed health decisions."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show a family learns about an important health practice. the setting is a ugandan community. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 2, ""description"": ""A trained health worker or trusted community member explains information about skilled care seeking to the pregnant women and families."", ""caption"": ""The health worker shares clear information suited to the community."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show a trained health worker or trusted community member explains information about skilled care seeking to the pregnant women and families. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 3, ""description"": ""The people apply or discuss the health message in an appropriate everyday situation."", ""caption"": ""The family or community discusses how to follow the guidance safely."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show the people apply or discuss the health message in an appropriate everyday situation. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}, {""scene_number"": 4, ""description"": ""The family leaves with clear guidance on the next appropriate step."", ""caption"": ""For health concerns, people are encouraged to use appropriate professional services."", ""visual_prompt"": ""Educational public-health visual story set in diverse Ugandan community, realistic local environment; show the family leaves with clear guidance on the next appropriate step. with respectful, non-stigmatizing, culturally appropriate Ugandan representation.""}]"
